"","x","y","ISO3","HV001","REGCODE","IsRural","cattle","goat","sheep","chicken"
"1715",34.875006,1.204526,"KEN",1135,5,1,0.25,0.05,0.25,0.4
"1716",34.970978,1.108905,"KEN",1136,5,1,0.541666666666667,0.0416666666666667,0.333333333333333,0.708333333333333
"1717",34.991218,1.104034,"KEN",1137,5,1,0.64,0.04,0.28,0.92
"1718",34.98259,1.056839,"KEN",1138,5,0,0.291666666666667,0,0,0.5
"1719",35.822237,0.243543,"KEN",1139,5,1,0.454545454545455,0.636363636363636,0.272727272727273,0.727272727272727
"1720",35.82354,0.391817,"KEN",1140,5,1,0.5,0.583333333333333,0.333333333333333,0.75
"1721",35.639405,0.575207,"KEN",1141,5,1,0.818181818181818,0.863636363636364,0.5,0.909090909090909
"1722",35.757143,0.492055,"KEN",1142,5,0,0.619047619047619,0.285714285714286,0.238095238095238,0.523809523809524
"1723",35.739763,0.494009,"KEN",1143,5,0,0.19047619047619,0.2,0.0476190476190476,0.285714285714286
"1724",35.735484,0.469609,"KEN",1144,5,0,0.428571428571429,0.0476190476190476,0.0476190476190476,0.523809523809524
"1725",35.771071,0.529795,"KEN",1145,5,1,0.227272727272727,0.363636363636364,0.318181818181818,0.636363636363636
"1726",35.881346,0.413822,"KEN",1146,5,1,0.541666666666667,0.875,0.125,0.833333333333333
"1727",35.97655,0.472783,"KEN",1147,5,0,0.217391304347826,0.391304347826087,0.0869565217391304,0.260869565217391
"1728",35.976505,0.464681,"KEN",1148,5,0,0.541666666666667,0.333333333333333,0.125,0.666666666666667
"1729",36.079568,0.413312,"KEN",1149,5,1,0.318181818181818,0.636363636363636,0.227272727272727,0.681818181818182
"1730",36.227069,0.247812,"KEN",1150,5,1,0.56,0.36,0.44,0.68
"1731",35.639046,0.723111,"KEN",1151,5,1,0.76,0.84,0.36,0.64
"1732",35.87216,0.640893,"KEN",1152,5,1,0.363636363636364,0.818181818181818,0.0909090909090909,0.727272727272727
"1733",35.80333,0.633115,"KEN",1153,5,1,0.608695652173913,0.173913043478261,0.217391304347826,0.608695652173913
"1734",35.817085,0.641007,"KEN",1154,5,1,0.608695652173913,0.260869565217391,0.478260869565217,0.695652173913043
"1735",35.783986,1.369603,"KEN",1155,5,1,0.772727272727273,0.954545454545455,0.590909090909091,0.318181818181818
"1736",35.780979,1.575329,"KEN",1156,5,1,0.875,0.933333333333333,0.8125,0
"1737",35.945295,0.85856,"KEN",1157,5,1,0.545454545454545,0.954545454545455,0.545454545454545,0.181818181818182
"1738",36.011313,0.913632,"KEN",1158,5,1,0.0952380952380952,0.476190476190476,0.0476190476190476,0.333333333333333
"1739",36.222345,0.668514,"KEN",1159,5,1,0.9375,1,0.375,0.8125
"1740",36.330077,0.715214,"KEN",1160,5,1,0.777777777777778,0.888888888888889,0.777777777777778,0.722222222222222
"1741",35.789337,-0.047684,"KEN",1161,5,1,0.521739130434783,0.173913043478261,0.434782608695652,0.782608695652174
"1742",35.646182,-0.040252,"KEN",1162,5,1,0.375,0.166666666666667,0.333333333333333,0.708333333333333
"1743",35.718633,0.050524,"KEN",1163,5,0,0.478260869565217,0.217391304347826,0.130434782608696,0.304347826086957
"1744",35.715722,0.061395,"KEN",1164,5,0,0.304347826086957,0,0.304347826086957,0.260869565217391
"1745",35.722889,0.050773,"KEN",1165,5,0,0.318181818181818,0.181818181818182,0.181818181818182,0.409090909090909
"1746",35.74956,0.081357,"KEN",1166,5,0,0.625,0.125,0.291666666666667,0.666666666666667
"1747",35.540079,0.023536,"KEN",1167,5,1,0.565217391304348,0.0434782608695652,0.347826086956522,0.434782608695652
"1748",35.898326,0.076191,"KEN",1168,5,1,0.739130434782609,0.304347826086957,0.608695652173913,0.782608695652174
"1749",35.92043,0.000775,"KEN",1169,5,1,0.92,0.24,0.36,0.6
"1750",36.055656,0.030202,"KEN",1170,5,1,0.88,0.8,0.56,0.84
"1751",35.222282,0.692989,"KEN",1171,5,1,0.75,0.0833333333333333,0.541666666666667,0.75
"1752",35.227394,0.838466,"KEN",1172,5,1,0.64,0.04,0.28,0.64
"1753",35.135885,0.875886,"KEN",1173,5,0,0.0416666666666667,0.0416666666666667,0,0.208333333333333
"1754",35.209525,0.829351,"KEN",1174,5,1,0.88,0.04,0.28,0.76
"1755",35.206463,0.63318,"KEN",1175,5,1,0.6,0.04,0.16,0.48
